Conceito,Definição,Termos Alternativos,Relação,Categoria
Aipim,Raiz tuberosa amplamente cultivada e utilizada na alimentação Tupinambá.,"Mandioca, Macaxeira, castelinha, uaipi, mandioca-doce, mandioca-mansa, maniva, maniveira, pão-de-pobre, mandioca-brava e mandioca-amarga.",termo específico ,Ingredientes
Andada,"Período em que os caranguejos saem debaixo da terra e andam na superfície, sendo propício para a coleta.",,termo específico ,Coleta de Crustáceos
Beiju,espécie de bolo de formato enrolado feito com massa de farinha de mandioca fina,"Bejú, Biju",termo específico ,prato típico
Caça de Animais Silvestres        ,"Prática de caça de animais nativos na floresta, como a paca.",,termo genérico,Caça
Canjica,"prato era originalmente preparado com milho branco cozido, mas passou por transformações após a chegada dos portugueses ao Brasil.",munguzá,termo especifico,Prato típico
Coivara,"Agricultura destinada ao consumo familiar e à venda de produtos em pequena escala. Técnica agrícola tradicional utilizada em comunidades tradicionais, para o plantio.",Queimada,  termo específico,Agricultura de subsistência
Coleta de Crustáceos	,Atividade de coleta de caranguejos e guaiamuns nos manguezais.,,termo genérico,Meios de Subsistência
Coleta de Piaçaba        ,"Principal atividade extrativista dos Tupinambá de Olivença, coleta de fibras utilizadas para fabricação de vassouras e outras utilidades.","Piaçava, piaçá, ",termo genérico,"Extrativismo
"
Culinária Tupinambá,"Práticas culinárias tradicionais dos Tupinambá da Bahia, incluindo ingredientes, métodos de preparo e pratos típicos.",Gastronomia Tupinambá,termo específico ,
Giroba        ,Bebida fermentada tradicional feita pelos Tupinambá a partir de mandioca.,,termo específico ,"Bebida Típica
"
Mandioca,Raíz tuberosa amplamente cultivada e utilizada na alimentação dos povos indígenas.,"Macaxeira, aipim, maniva",termo específico ,  Alimento
Pirão,caldo grosso feito de farinha de mandioca e caldo de peixe,angu,termo especifico,prato típico
Tapioca,"Fécula, amido extraído da mandioca. Preparada ", Goma,,Iguaria